Participant,Parent Firm,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min
Hydro-Electric Corporation,Hydro-Electric Corporation,Trevallyn Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,20,Y,TREVALLN,93,103,60
Hydro-Electric Corporation,Hydro-Electric Corporation,Trevallyn Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3-Apr,26.5,Y,TREVALLN,-,-,-
Hydro-Electric Corporation,Hydro-Electric Corporation,Tribute Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,82.8,Y,TRIBUTE,82.8,92,40
Hydro-Electric Corporation,Hydro-Electric Corporation,Tungatinah Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,"1, 2 & 5,3 & 4",25,Y,TUNGATIN,125,142,75
Hydro-Electric Corporation,Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WBP 1-37,1.75,Y,WOOLNTH1,140,140,
Hydro-Electric Corporation,Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,WSB 1-25,3,Y,WOOLNTH1,-,-,-
Infigen Energy Holdings Pty Limited,Infigen,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Feb,0.013,N,CESF1,0.205,1,0
Infigen Energy Holdings Pty Limited,Infigen,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,3,0.011,N,CESF1,-,-,-
Infigen Energy Holdings Pty Limited,Infigen,Capital East Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,4,0.168,N,CESF1,-,-,-
Infigen Energy Markets Pty Limited,Infigen,Capital Wind Farm,NSW1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-67,2,N,CAPTL_WF,140,140,
IPM Australia Limited,IPM Australia Limited,Loy Yang B Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,500,Y,LOYYB1,500,600,25
IPM Australia Limited,IPM Australia Limited,Loy Yang B Power Station,VIC1,Generator,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,500,Y,LOYYB2,500,600,25
Kiata Wind Farm Pty Ltd,Windlab,Kiata Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Sep,3.45,N,KIATAWF1,31.05,31,37
Lake Bonney Wind Power Pty Ltd,Infigen,Lake Bonney Stage 2 Windfarm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-53,3,N,LKBONNY2,159,159,32
Lake Bonney Wind Power Pty Ltd,Infigen,Lake Bonney Stage 3 Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,3,N,LKBONNY3,39,39,32
Lake Bonney Wind Power Pty Ltd,Infigen,Lake Bonney Wind Farm Stage 1,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-46,1.75,N,LKBONNY1,80.5,81,
Landfill Operations Pty Ltd,Landfill Operations Pty Ltd,Melbourne Regional Landfill,VIC1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Aug,1.11,N,-,8.88,8.88,
LMS Energy Pty Ltd,LMS Energy Pty Ltd,Eastern Creek 2 Gas Utilisation Facility,NSW1,Generator,Non-Market,Non-Scheduled,,,,,1-Aug,1.123,Y,-,8.984,10,
LMS Energy Pty Ltd,LMS Energy Pty Ltd,Stapylton Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Feb,1.07,N,STAPYLTON1,2.14,2,
LMS Energy Pty Ltd,LMS Energy Pty Ltd,Stapylton Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,3,0.765,N,STAPYLTON1,0.765,-,
LMS Energy Pty Ltd,LMS Energy Pty Ltd,Stapylton Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,4,0.46,N,STAPYLTON1,0.46,-,
Lumo Energy Australia Pty Ltd,Landfill Operations Pty Ltd,Hallam Road Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Aug,1.123,N,HALAMRD1,8.984,9,0
Lumo Energy Australia Pty Ltd,Lumo,Wollert Renewable Energy Facility,VIC1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,1.1,N,WOLLERT1,2.2,7,0
Lumo Generation SA Pty Ltd,Lumo,Awaba Power Station,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1,1.123,N,AWABAREF,1.123,1,
Lumo Generation SA Pty Ltd,Lumo,Remount Power Station,TAS1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Feb,1,N,REMOUNT,2,2,
Mackay Sugar Limited,Mackay Sugar Limited,Racecourse Mill Power Station,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,3.5,N,-,48.5,48,0
Mackay Sugar Limited,Mackay Sugar Limited,Racecourse Mill Power Station,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,7,N,-,-,-,-
Mackay Sugar Limited,Mackay Sugar Limited,Racecourse Mill Power Station,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,3,38,N,-,-,-,-
Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust,New Energy Solar,Manildra solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1-Oct,2.5,Y,MANSLR1,50,46,46
Manildra Prop Pty Ltd as The Trustee for the Manildra Asset Trust,New Energy Solar,Manildra solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Nov-20,2.5,Y,MANSLR1,-,-,-
Millmerran Energy Trader Pty Ltd,Intergen,Millmerran Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,426,Y,MPP_1,426,435,10
Millmerran Energy Trader Pty Ltd,Intergen,Millmerran Power Plant,QLD1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,2,426,Y,MPP_2,426,435,10
Moree Solar Farm Pty Ltd,FRV,Moree Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-56,1.019,N,MOREESF1,57.064,56,60
Mortons Lane Windfarm Pty Limited,CGN New Energy Holdings,Mortons Lane Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,1.5,N,MLWF1,19.5,20,0
Mt Gellibrand Wind Farm Pty Ltd,Acciona,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 1-14,3.136,Y,MTGELWF1,43.904,66,400/200
Mt Gellibrand Wind Farm Pty Ltd,Acciona,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 19-26,3.136,Y,MTGELWF1,25.088,-,-
Mt Gellibrand Wind Farm Pty Ltd,Acciona,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 15-18,3.136,Y,MTGELWF1,12.544,66,400/200
Mt Gellibrand Wind Farm Pty Ltd,Acciona,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 27-35,3.136,Y,MTGELWF1,28.224,-,-
Mt Gellibrand Wind Farm Pty Ltd,Acciona,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 38-40,3.136,Y,MTGELWF1,9.408,-,-
Mt Gellibrand Wind Farm Pty Ltd,Acciona,Mt Gellibrand Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore, 42-47,3.136,Y,MTGELWF1,18.816,-,-
Mt Mercer Windfarm Pty Ltd,Meridian Energy,Hepburn Community Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1 & 2,2.05,N,HEPWIND1,4.1,4,0
Mt Mercer Windfarm Pty Ltd,Meridian Energy,Mt Mercer Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-64,2.05,N,MERCER01,131.2,131,33
Mt Millar Wind Farm Pty Ltd,Meridian Energy,Mt Millar Wind Farm,SA1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,2,N,MTMILLAR,70,70,
Mugga Lane Solar Park Pty Ltd,Maoneng,Mugga Lane Solar Park,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1,12,Y,MLSP1,12,12,0
New Gullen Range Wind Farm Pty Ltd,New Gullen Range Wind Farm Pty Ltd,Gullen Range Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Solar Thermal,1-Apr,2.5,Y,GULLRSF1,10,10,10
New Gullen Range Wind Farm Pty Ltd,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-17,1.5,N,GULLRWF1,165.5,165,34
New Gullen Range Wind Farm Pty Ltd,New Gullen Range Wind Farm Pty Ltd,Gullen Range Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,18-73,2.5,N,GULLRWF1,-,-,-
NovaPower Pty Ltd,NovaPower Pty Ltd,Traralgon Network Support Station,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,2,N,TGNSS1,10,10,0
Origin Energy Electricity Limited,Origin,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),0,280,Y,DDPS1,643,663,10
Origin Energy Electricity Limited,Origin,Darling Downs Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Mar,121,Y,DDPS1,-,-,-
Origin Energy Electricity Limited,Origin,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,720,Y,ER01,720,750,20
Origin Energy Electricity Limited,Origin,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,720,Y,ER02,720,750,20
Origin Energy Electricity Limited,Origin,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,720,Y,ER03,720,750,20
Origin Energy Electricity Limited,Origin,Eraring Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,720,Y,ER04,720,750,20
Origin Energy Electricity Limited,Origin,Eraring Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1,41.5,N,ERGT01,41.5,56,0
Origin Energy Electricity Limited,Origin,Ladbroke Grove Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,40,Y,LADBROK1,40,50,10
Origin Energy Electricity Limited,Origin,Ladbroke Grove Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,40,Y,LADBROK2,40,50,10
Origin Energy Electricity Limited,Origin,Mortlake Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,283,Y,MORTLK11,283,292,13
Origin Energy Electricity Limited,Origin,Mortlake Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,283,Y,MORTLK12,283,292,13
Origin Energy Electricity Limited,Origin,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),1,144,Y,MSTUART1,144,152,31
Origin Energy Electricity Limited,Origin,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),2,144,Y,MSTUART2,144,152,31
Origin Energy Electricity Limited,Origin,Mt Stuart Power Station,QLD1,Generator,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),3,131,Y,MSTUART3,131,139,28
Origin Energy Electricity Limited,Origin,Osborne Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,118,Y,OSB-AG,180,204,41
Origin Energy Electricity Limited,Origin,Osborne Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),2,62,Y,OSB-AG,-,-,-
Origin Energy Electricity Limited,Origin,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,24,Y,QPS1,24,25,5
Origin Energy Electricity Limited,Origin,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,24,Y,QPS2,24,25,5
Origin Energy Electricity Limited,Origin,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,24,Y,QPS3,24,25,5
Origin Energy Electricity Limited,Origin,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,24,Y,QPS4,24,25,5
Origin Energy Electricity Limited,Origin,Quarantine Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5,128,Y,QPS5,128,128,26
Origin Energy Electricity Limited,Origin,Rochedale Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Apr,1.1,N,ROCHEDAL,4.4,4,0
Origin Energy Electricity Limited,Origin,Roma Gas Turbine Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),7,40,Y,ROMA_7,40,42,9
Origin Energy Electricity Limited,Origin,Roma Gas Turbine Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),8,40,Y,ROMA_8,40,42,9
Origin Energy Electricity Limited,Origin,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,40,Y,SHGEN,240,240,12
Origin Energy Electricity Limited,Origin,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,3-Apr,80,Y,SHGEN,-,-,-
Origin Energy Electricity Limited,Origin,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Load,Non-Market,Scheduled,-,-,-,-,1-Feb,40,Y,SHPUMP,240,240,12
Origin Energy Electricity Limited,Origin,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,Load,Non-Market,Scheduled,-,-,-,-,3-Apr,80,Y,SHPUMP,-,-,-
Origin Energy Electricity Limited,Origin,Whitwood Road Renewable Energy Facility,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,1.1,N,WHIT1,1,1,0
Origin Energy Uranquinty Power Pty Ltd,Origin,Bungala One Solar Farm,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,54,2.5,Y,BNGSF1,135,110,25
Origin Energy Uranquinty Power Pty Ltd,Origin,Uranquinty Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,166,Y,URANQ11,166,166,34
Origin Energy Uranquinty Power Pty Ltd,Origin,Uranquinty Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,166,Y,URANQ12,166,166,34
Origin Energy Uranquinty Power Pty Ltd,Origin,Uranquinty Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,166,Y,URANQ13,166,166,34
Origin Energy Uranquinty Power Pty Ltd,Origin,Uranquinty Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,166,Y,URANQ14,166,166,34
Pacific Hydro Challicum Hills Pty Ltd,Pacific Hydro,Challicum Hills Wind Farm,VIC1,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-35,1.5,Y,-,52.5,53,
Pacific Hydro Clements Gap Pty Ltd,Pacific Hydro,Clements Gap Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-27,2,N,CLEMGPWF,57,57,30
Pacific Hydro Investments Pty Ltd,Pacific Hydro,Eildon Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,4.5,N,EILDON3,4.5,5,0
Pacific Hydro Investments Pty Ltd,Pacific Hydro,Glenmaggie Hydro Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,3.8,N,GLENMAG1,3.8,4,0
Pacific Hydro Investments Pty Ltd,Pacific Hydro,The Drop Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,2.5,N,THEDROP1,2.5,3,0
Pacific Hydro Investments Pty Ltd,Pacific Hydro,William Hovell Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,1.5,N,WILLHOV1,1.5,2,0
Pacific Hydro Portland Wind Farm Pty Ltd,Pacific Hydro,Portland Wind Farm,VIC1,Generator,Non-Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,"CNN,CWG_MM82,CWG_MM92,PRTLCBW_C1,PRTLCNS_C2",2,N,-,148,148,0
Pacific Hydro Yaloak South Pty Ltd,Pacific Hydro,Yaloak South Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,2.05,Y,YSWF1,28.7,28,172
Parkes Solar Farm Pty Ltd,Neoen,Parkes Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-22,2.295,Y,PARSF1,50.49,50,1000
Pelican Point Power Limited,Engie,Pelican Point Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Feb,160,Y,PPCCGT,478,529,55
Pelican Point Power Limited,Engie,Pelican Point Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),3,158,Y,PPCCGT,-,-,-
Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,30.86,N,-,67.78,68,
Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mills Pty Ltd,Pioneer Sugar Mill,QLD1,Generator,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,2,36.92,N,-,-,-,-
Progressive Green Pty Ltd,Flow Power,South East Water - Halllam Hydro Plant,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,0.25,N,HLMSEW01,0.25,1,
Progressive Green Pty Ltd,Flow Power,Wonthaggi Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Jun,2,Y,WONWP,12,12,
Pyrenees Wind Energy Development Pty Ltd,Acciona,Waubra Wind Farm,VIC1,Generator,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-128,1.5,N,WAUBRAWF,192,192,
QGC Sales Qld Pty Ltd,QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Feb,43,Y,CPSA,143,144,29
QGC Sales Qld Pty Ltd,QGC Sales Qld Pty Ltd,Condamine Power Station A,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),3,57,Y,CPSA,-,-,-
Renewable Power Australia Limited,Renewable Power Australia Limited,Rocky Point Cogeneration Plant,QLD1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Sub-Critical,1,30,N,RPCG,30,30,0
Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust ,Palisade,"Ross River Solar Farm, Units 1-64 ",QLD1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-64,2,Y,RRSF1,128,116,696
Royalla Solar Farm Pty Limited,Acciona,Royalla Solar Farm,NSW1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,Jan-20,1,N,ROYALLA1,20,20,0
RTA Yarwun Pty Ltd,Rio Tinto,Yarwun Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,154,Y,YARWUN_1,154,180,36
SA Power Networks,SA Power Networks,Temporary Generation North,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-May,30.8,Y,SATGN1,154,154,75
SA Power Networks,SA Power Networks,Temporary Generation South,SA1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Open Cycle Gas turbines (OCGT),1-Apr,30.8,Y,SATGS1,123.2,123,60
Salt Creek Wind Farm Pty Ltd,Tilt Renewables,Salt Creek Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-15,3.6,Y,SALTCRK1,54,54,162
Santos NSW (Narrabri Power) Pty Ltd,Santos,Wilga Park B,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,1-Feb,3,N,WILGB01,6,6,0
Santos NSW (Narrabri Power) Pty Ltd,Santos,Wilga Park Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,1-Apr,1,N,WILGAPK,10,10,0
Santos NSW (Narrabri Power) Pty Ltd,Santos,Wilga Park Power Station,NSW1,Generator,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,5-Jun,3,N,WILGAPK,-,-,-
Secure Energy Pty Ltd,Secure Energy Pty Ltd,Southbank Institute Of Technology Unit 1 Plant,QLD1,Generator,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,1,N,STHBKTEC,1,1,
Snowtown Wind Farm Pty Ltd,Tilt Renewables,Snowtown Wind Farm Units 1 And 47,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-47,2.1,N,SNOWTWN1,99,99,20
Snowtown Wind Farm Stage 2 Pty Ltd,Tilt Renewables,Snowtown South Wind Farm,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-42,3,N,SNOWSTH1,126,126,50
Snowtown Wind Farm Stage 2 Pty Ltd,Tilt Renewables,Snowtown Wind Farm Stage 2 North,SA1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-48,3,N,SNOWNTH1,144,144,50
Snowy Hydro Limited,Snowy Hydro,Angaston Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Jan-18,1.667,Y,ANGAST1,50,50,14
Snowy Hydro Limited,Snowy Hydro,Blowering Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,70,Y,BLOWERNG,70,80,10
Snowy Hydro Limited,Snowy Hydro,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,181,Y,CG1,181,181,34
Snowy Hydro Limited,Snowy Hydro,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,181,Y,CG2,181,181,34
Snowy Hydro Limited,Snowy Hydro,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,181,Y,CG3,181,181,34
Snowy Hydro Limited,Snowy Hydro,Colongra Power Station,NSW1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,181,Y,CG4,181,181,34
Snowy Hydro Limited,Snowy Hydro,Guthega Power Station,NSW1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,30,Y,GUTHEGA,60,80,20
Snowy Hydro Limited,Snowy Hydro,Jindabyne Pump At Guthega,VIC1,Generator,Non-Market,Non-Scheduled,,,,,1,70,N,-,70,70,
Snowy Hydro Limited,Snowy Hydro,Jindabyne Small Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,1.1,N,JNDABNE1,1.1,1,
Snowy Hydro Limited,Snowy Hydro,Jounama Small Hydro Power Station,NSW1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,14,N,JOUNAMA1,14,14,
Snowy Hydro Limited,Snowy Hydro,Laverton North Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,156,Y,LNGS1,156,172,27
